TOPIC,Türkçe,English
a2_activities,alışveriş arabası,shopping cart
a2_activities,alışveriş sepeti,shopping basket
a2_activities,ders,lesson
a2_activities,eğitim,education
a2_activities,iş görüşmesi,job interview
a2_activities,kurs,course
a2_activities,mülakat,interview [oral]
a2_activities,teneffüs,recess
a2_activities,market ürünleri,supermarket products
a2_activities,poşet,"shopping bag, nylon bag"
a2_activities,reyon,aisle
a2_activities,salıncak,swing
a2_activities,berber,barber
a2_activities,bilet,ticket
a2_activities,harita,map
a2_activities,hemşire,nurse
a2_activities,kuaför,"hairdresser, hairstylist, salon"
a2_activities,öğrenci,student
a2_activities,öğretmen,teacher
a2_activities,kıyafet,"apparel, clothing"
a2_activities,kırtasiye,stationery
a2_adjectives,vefa,loyalty
a2_adjectives,özellik,characteristic
a2_adjectives,ackısız,painless
a2_adjectives,akıllı,smart
a2_adjectives,bekar,single
a2_adjectives,bencil,selfish
a2_adjectives,beyaz tenli,fair-skinned
a2_adjectives,büyük,big
a2_adjectives,cesur,brave
a2_adjectives,dalgalı saçlı,wavy-haired
a2_adjectives,dağınık,"messy, untidy, disorderly"
a2_adjectives,dürüst,honest
a2_adjectives,düz,"flat, straight, plain, smooth"
a2_adjectives,düz saçlı,straight-haired
a2_adjectives,düzenli,tidy
a2_adjectives,enerjik,energetic
a2_adjectives,eski,old
a2_adjectives,esmer,brunette
a2_adjectives,evli,married
a2_adjectives,eğlenceli,fun
a2_adjectives,fakir,poor
a2_adjectives,farklı,different
a2_adjectives,genç,young
a2_adjectives,geveze,talkative
a2_adjectives,güzel,beautiful
a2_adjectives,güçlü,strong
a2_adjectives,hasta,sick
a2_adjectives,hızlı,fast
a2_adjectives,indirimli,discounted
a2_adjectives,iyi,good
a2_adjectives,iyimser,optimistic
a2_adjectives,kalabalık,crowded
a2_adjectives,karışık,mixed
a2_adjectives,kibar,polite
a2_adjectives,kilolu,overweight
a2_adjectives,kirli,dirty
a2_adjectives,komik,funny
a2_adjectives,konuşkan,talkative
a2_adjectives,kumral,brown-haired
a2_adjectives,kötümser,pessimistic
a2_adjectives,küçük,small
a2_adjectives,kısa,short
a2_adjectives,kısa saçlı,short-haired
a2_adjectives,kıvırcık saçlı,"curly-haired, nappy"
a2_adjectives,mutlu,happy
a2_adjectives,mutsuz,unhappy
a2_adjectives,neşeli,cheerful
a2_adjectives,pahalı,expensive
a2_adjectives,rahat,comfortable
a2_adjectives,sakin,calm
a2_adjectives,sarışın,blonde
a2_adjectives,sessiz,quiet
a2_adjectives,sinirli,angry
a2_adjectives,soğuk,cold
a2_adjectives,süper,super
a2_adjectives,sıcak,hot
a2_adjectives,sıcakkanlı,friendly
a2_adjectives,taze,fresh
a2_adjectives,tembel,lazy
a2_adjectives,temiz,clean
a2_adjectives,titiz,rigorous
a2_adjectives,turistik,touristic
a2_adjectives,turistik yer,tourist place
a2_adjectives,uygun,suitable
a2_adjectives,uzak,far
a2_adjectives,uzun,long
a2_adjectives,uzun boylu,tall
a2_adjectives,yavaş,slow
a2_adjectives,yaşlı,old
a2_adjectives,yeni,new
a2_adjectives,yorgun,tired
a2_adjectives,yoğun,busy
a2_adjectives,zayıf,thin
a2_adjectives,zeki,smart
a2_adjectives,zengin,rich
a2_adjectives,çirkin,ugly
a2_adjectives,üzgün,sad
a2_adjectives,şirin,cute
a2_adjectives,şişman,fat
a2_adjectives,çalışkan,hardworking
a2_adjectives,yaratıcı,creative
a2_adjectives,yardımsever,helpful
a2_adjectives,yalnız,alone
a2_adjectives,tarihi,historical
a2_adverbs,akşamları,in the evenings
a2_adverbs,asla,never
a2_adverbs,bazen,sometimes
a2_adverbs,bugün,today
a2_adverbs,genelde,generally
a2_adverbs,genellikle,usually
a2_adverbs,hafta sonları,on weekends
a2_adverbs,her akşam,every evening
a2_adverbs,her ay,every month
a2_adverbs,her cumartesi,every saturday
a2_adverbs,her gün,every day
a2_adverbs,her hafta,every week
a2_adverbs,her sabah,every morning
a2_adverbs,her yıl,every year
a2_adverbs,her zaman,always
a2_adverbs,hiç,none
a2_adverbs,hiçbir zaman,never
a2_adverbs,nadiren,rarely
a2_adverbs,normalde,normally
a2_adverbs,pazar günleri,on sundays
a2_adverbs,şimdi,now
a2_adverbs,şimdilik,for now
a2_adverbs,şu anda,right now
a2_adverbs,yarın,tomorrow
a2_adverbs,öğleden sonra,afternoon
a2_adverbs,sık sık,frequently
a2_adverbs,sürekli,always
a2_adverbs,zaman,time
a2_conjunctions,ama,but
a2_conjunctions,ancak,however
a2_conjunctions,ayrıca,additionally
a2_conjunctions,veya,or
a2_conjunctions,ya da,or
a2_conjunctions,yani,meaning
a2_conjunctions,çünkü,because
a2_conjunctions,öyleyse,"so, then, if so, well"
a2_food,ananas,pineapple
a2_food,armut,pear
a2_food,ayran,yogurt drink
a2_food,baharat,spice
a2_food,bal,honey
a2_food,balık,fish
a2_food,bezelye,peas
a2_food,biber,pepper
a2_food,cacık,tzatziki
a2_food,ceviz,walnut
a2_food,dilim,slice
a2_food,domates,tomato
a2_food,dondurulmuş,frozen
a2_food,ekmek,bread
a2_food,elma,apple
a2_food,erik,plum
a2_food,et,meat
a2_food,fasülye,beans
a2_food,fındık,hazelnut
a2_food,greyfurt,grapefruit
a2_food,gıda,food
a2_food,havuç,carrot
a2_food,ihlamur,linden
a2_food,incir,fig
a2_food,ispanak,spinach
a2_food,içecek,beverage
a2_food,kabak,zucchini
a2_food,kahvaltı,breakfast
a2_food,kahve,coffee
a2_food,karnabahar,cauliflower
a2_food,karpuz,watermelon
a2_food,kavun,melon
a2_food,kebap,kebab
a2_food,kek,cake
