TOPIC,Türkçe,English
ablative,Adada kim var?,Who is on the island?
ablative,Adadan geliyorlar.,They are coming from the island.
ablative,Aşçı mutfaktan çıkıyor.,The cook is leaving the kitchen.
ablative,Bankada değilsin.,You are not at the bank.
ablative,Bankada yasli adam süt içiyor.,The old man is drinking milk at the bank.
ablative,Bankadan geliyorlar.,They are coming from the bank.
ablative,Barda süt içiyorum.,I am drinking milk at the bar.
ablative,Barda yaşlı kadınlar var.,There are old women at the bar.
ablative,Bardan geliyorsun.,You are coming from the bar.
ablative,Bardan geliyorum ve eve gidiyorum.,I am coming from the bar and going home.
ablative,Ben bu saraydan geliyorum.,I am coming from this palace.
ablative,Ben çıkıyorum.,I am leaving.
ablative,Bu güzel mahalleden gidiyorum.,I am leaving this beautiful neighborhood.
ablative,Bu yumurtayı köyden alıyoruz.,We are getting this egg from the village.
ablative,Burada bahçeyi görüyorum.,I see the garden here.
ablative,Burada neden bekliyorsun?,Why are you waiting here?
ablative,Buradan bahçeyi görüyorum.,I see the garden from here.
ablative,Buradan güneye bir adam gidiyor.,A man is going south from here.
ablative,Burasi Taksim Meydanı.,This is Taksim Square.
ablative,Çocuklar okuldan geliyor.,The children are coming from school.
ablative,Doğu soğuk.,The east is cold.
ablative,Duo güneyde.,Duo is in the south.
ablative,Elmalar o adadan geliyor.,The apples come from that island.
ablative,Evden bahçeye kadar koşuyor.,He is running from the house to the garden.
ablative,Evden geliyorum.,I am coming from home.
ablative,Evden geliyoruz.,We are coming from home.
ablative,Evden kitapları alıyorum.,I am taking the books from the house.
ablative,Evimden parkı görüyorum.,I see the park from my house.
ablative,Evimizden bahçeyi görüyoruz.,We see the garden from our house.
ablative,Fil kadar büyük.,Big as an elephant.
abstract_objects,Ama emir emirdir.,But an order is an order.
abstract_objects,Anne olmak muhteşem bir duygu.,Being a mother is a wonderful feeling.
abstract_objects,Aşk çok güzel bir duygu.,Love is a very beautiful feeling.
abstract_objects,Aşk için zamanım yok.,I have no time for love.
abstract_objects,Babama saygı duyuyor.,He respects my father.
abstract_objects,Bana yardım gerekmiyor.,I do not need help.
abstract_objects,Ben bu tip ayakkabı seviyorum.,I like this type of shoe.
abstract_objects,Bir kedi bu krize neden oldu.,A cat caused this crisis.
abstract_objects,Bir kedinin dokuz canı vardır.,A cat has nine lives.
abstract_objects,Bu adamın daha çok gücü var.,This man has more power.
abstract_objects,Bu başka bir tür.,This is another species/type.
abstract_objects,Bu konuda bir düşüncem yok.,I have no thought on this matter.
abstract_objects,Bu ne tür bir kitap?,What kind of book is this?
abstract_objects,Bu olayı gelecekte herkes konuşacak.,Everyone will talk about this event in the future.
abstract_objects,Bu restoranda hizmet çok kötü.,Service is very bad in this restaurant.
abstract_objects,Bu sistem her şeyi değiştirecek.,This system will change everything.
abstract_objects,Bu sorun çok ciddi.,This problem is very serious.
abstract_objects,Bu tip değişiklikler normaldir.,These types of changes are normal.
abstract_objects,Bu yemeğin tadı yok.,This food has no taste.
abstract_objects,Bu yeni bir olay.,This is a new event.
abstract_objects,Canım çilek yemek istiyor.,I feel like eating strawberries.
abstract_objects,Durum kontrol altında.,The situation is under control.
abstract_objects,Gazeteler kriz hakkında yazıyor.,Newspapers are writing about the crisis.
abstract_objects,"Gücü kullan, Luke!","Use the force, Luke!"
abstract_objects,Güzel bir hayatım var.,I have a good life.
abstract_objects,Haberleri beğendin mi?,Did you like the news?
abstract_objects,Hangi tip yemekleri seviyorsun?,What type of food do you like?
abstract_objects,Hasta adamın durumu çok üzücü.,The sick man's condition is very sad.
abstract_objects,Hastanın durumunda bir değişiklik var mı?,Is there a change in the patient's condition?
abstract_objects,Her şey benim kontrolüm altında.,Everything is under my control.
adjectives,Ailem benim için önemli.,My family is important to me.
adjectives,Aynı kitabı okuyoruz.,We are reading the same book.
adjectives,Annemin arabası daha hızlı.,My mother's car is faster.
adjectives,Aslan kesinlikle en hızlı hayvan.,The lion is definitely the fastest animal.
adjectives,Başka bir restorana git!,Go to another restaurant!
adjectives,Başka elbise var mı?,Is there another dress?
adjectives,Ben çok uzunum.,I am very tall.
adjectives,Başka hangi kitapları okuyorsun.,What other books are you reading?
adjectives,Ben çok kısayım.,I am very short.
adjectives,Ben müsait değilim.,I am not available.
adjectives,Ben hep ucuz elbiseler giyerim.,I always wear cheap dresses.
adjectives,Ben kendi evimde yaşıyorum.,I live in my own house.
adjectives,Ben meşhur olmak istiyorum.,I want to be famous.
adjectives,Ben senden daha üzgünüm.,I am sadder than you.
adjectives,Benim ayakkabım kirli.,My shoe is dirty.
adjectives,Benim babam harika bir adam.,My father is a wonderful man.
adjectives,Benim halam modern bir kadındır.,My paternal aunt is a modern woman.
adjectives,Benim için doğru kişi sen değilsin.,You are not the right person for me.
adjectives,Benim kız kardeşlerim farklılar.,My sisters are different.
adjectives,Beşinci kat çok yüksek.,The fifth floor is very high.
adjectives,Biz aynı şehirde yaşıyoruz.,We live in the same city.
adjectives,Biz geleneksel bir çorba içeriz.,We drink a traditional soup.
adjectives,Biz normal bir aile miyiz?,Are we a normal family?
adjectives,Bizim evimiz her zaman temiz.,Our house is always clean.
adjectives,Bizim çocuğumuz farklıdır.,Our child is different.
adjectives,Bu araba hiç ucuz değil.,This car is not cheap at all.
adjectives,Bu arabayı almak mümkün mü?,Is it possible to buy this car?
adjectives,Bu bahçede konuşmak yasaktır.,Talking is forbidden in this garden.
adjectives,Bu bardak hala kirli.,This glass is still dirty.
adverb,Ablam hep etek giyer.,My older sister always wears a skirt.
adverb,Artık içeriye kar yağıyor.,It is snowing inside now.
adverb,Artık eve seninle beraber gidiyorum.,I am going home with you now.
adverb,Aslında ben takım giyerim.,"Actually, I wear a suit."
adverb,Aslında ben seni çok seviyorum.,"Actually, I love you very much."
adverb,Aslında bu ev çok büyük.,"Actually, this house is very big."
adverb,Atımız yine hasta.,Our horse is sick again.
adverb,Avukat ondan daha aç.,The lawyer is hungrier than him/her.
adverb,Balıklar bile hastalar ama ben iyiyim.,Even the fish are sick but I am fine.
adverb,Bana göre bu adam yakışıklı.,"According to me, this man is handsome."
adverb,Bana göre bu elbise güzel değil.,"According to me, this dress is not beautiful."
adverb,Bazen gazete okurum.,Sometimes I read the newspaper.
adverb,Bazen portakal suyu içeriz.,Sometimes we drink orange juice.
adverb,Bazen tuzlu çorba içer.,Sometimes he drinks salty soup.
adverb,Ben bile süt içiyorum.,Even I am drinking milk.
adverb,Ben çoğunlukla etek giyerim.,I mostly wear a skirt.
adverb,Ben genellikle etek giyerim.,I generally wear a skirt.
adverb,Ben nadiren süt içerim.,I rarely drink milk.
adverb,Ben neredeyse her gün gazete okurum.,I read the newspaper almost every day.
